   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 9.17.10.2828
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0116, AdapterDriverVersion: 8.15.10.2361
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.3040
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0106, AdapterDriverVersion: 9.17.10.2843
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.3223
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.2963
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 9.17.10.2843
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0102, AdapterDriverVersion: 8.15.10.2696
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterDriverVersion: 8.15.10.2125
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x1380, AdapterDriverVersion: 9.18.13.4788
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11c0, AdapterDriverVersion: 9.18.13.4752
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c3, AdapterDriverVersion: 8.17.12.5919
   5 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca2, AdapterDriverVersion: 9.18.13.3165
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterDriverVersion: 8.15.10.2021
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22, AdapterDriverVersion: 8.15.10.2869
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22, AdapterDriverVersion: 8.15.10.2202
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22, AdapterDriverVersion: 8.15.10.2189
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e22, AdapterDriverVersion: 8.15.10.1892
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2a42, AdapterDriverVersion: 8.15.10.1855
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3574
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3412
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3355
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0a16, AdapterDriverVersion: 10.18.10.3345
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x041e, AdapterDriverVersion: 10.18.10.3540
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0402, AdapterDriverVersion: 9.18.10.3186
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 9.17.10.2963
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0166, AdapterDriverVersion: 10.18.10.3308
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterDriverVersion: 9.17.10.2867
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterDriverVersion: 10.18.10.3621
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0156, AdapterDriverVersion: 10.18.10.3345
   4 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0152, AdapterDriverVersion: 9.17.10.2843
