   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 04821025, AdapterDriverVersion: 8.15.10.2119
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2900
   6 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterSubsysID: 00368086, AdapterDriverVersion: 8.15.10.2141
   6 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.13.4052
   6 AdapterVendorID: 0x1002, AdapterDeviceID: 0x6760, AdapterSubsysID: 166e103c, AdapterDriverVersion: 8.882.2.0
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 75921462, AdapterDriverVersion: 8.15.10.2555
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 305d17aa, AdapterDriverVersion: 8.15.10.2040
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 304f17aa, AdapterDriverVersion: 8.15.10.2869
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.2281
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.1855
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 2e328086, AdapterDriverVersion: 8.15.10.1808
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 22601019, AdapterDriverVersion: 8.15.10.2555
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 0dc2105b, AdapterDriverVersion: 8.15.10.2302
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 0dc1105b, AdapterDriverVersion: 8.15.10.2869
   5 AdapterVendorID: 0x8086, AdapterDeviceID: 0x2e32, AdapterSubsysID: 04001028, AdapterDriverVersion: 8.15.10.2281
