  39 Cisco VPN
  19 DriverVersionMismatch
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 04471028, AdapterDriverVersion: 8.15.10.2104
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 03701025, AdapterDriverVersion: 8.15.10.2057
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 036d1025, AdapterDriverVersion: 8.15.10.2993
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0046, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.15.10.2202
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterSubsysID: 306a17aa, AdapterDriverVersion: 8.15.10.2622
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterSubsysID: 03891025, AdapterDriverVersion: 8.15.10.2622
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterSubsysID: 00368086, AdapterDriverVersion: 8.15.10.2900
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterSubsysID: 00368086, AdapterDriverVersion: 8.15.10.2622
   3 AdapterVendorID: 0x8086, AdapterDeviceID: 0x0042, AdapterSubsysID: 00368086, AdapterDriverVersion: 8.15.10.2141
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x13c2, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x11c0, AdapterSubsysID: 28711462, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c5, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.17.12.5965
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x10c3, AdapterSubsysID: 318219da, AdapterDriverVersion: 8.17.12.5919
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ffa, AdapterSubsysID: 094b10de, AdapterDriverVersion: 9.18.13.1090
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc6, AdapterSubsysID: 35531458, AdapterDriverVersion: 9.18.13.1106
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0fc6, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.13.4788
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0f00, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.13.4752
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0e23, AdapterSubsysID: 350d1458, AdapterDriverVersion: 9.18.13.4475
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0ca2, AdapterSubsysID: 2150174b, AdapterDriverVersion: 9.18.13.3165
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterSubsysID: 715819da, AdapterDriverVersion: 9.18.13.3165
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterSubsysID: 040110b0, AdapterDriverVersion: 9.18.13.2723
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a65, AdapterSubsysID: 00000000, AdapterDriverVersion: 9.18.13.3523
   3 AdapterVendorID: 0x10de, AdapterDeviceID: 0x0a23, AdapterSubsysID: 069910de, AdapterDriverVersion: 8.17.12.5896
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9993, AdapterSubsysID: 77211462, AdapterDriverVersion: 8.947.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x990f, AdapterSubsysID: 216a103c, AdapterDriverVersion: 14.100.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9809, AdapterSubsysID: 2b00103c, AdapterDriverVersion: 9.12.6.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9806, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.861.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x9802, AdapterSubsysID: 00000000, AdapterDriverVersion: 8.792.0.0
   3 AdapterVendorID: 0x1002, AdapterDeviceID: 0x68e0, AdapterSubsysID: 1426103c, AdapterDriverVersion: 8.771.1.4000
